"LRIMOShipNo","ShipName","ShipStatus","ShipStatusEffectiveDate","YearOfBuild","Deadweight","GrossTonnage","ClassificationSociety","FlagName","ShiptypeLevel5","Powerkwmax","Powerkwservice","Powerbhpihpshpmax","Powerbhpihpshpservice","FuelConsumptionMainEnginesonly","FuelConsumptionTotal","FuelType1Capacity","FuelType1Code","FuelType1First","FuelType2Capacity","FuelType2Code","FuelType2Second","NumberOfAllEngines","NumberOfAuxiliaryEngines","NumberofMainEngines","MainEngineDesigner","MainEngineModel","MainEngineStrokeType","MainEngineType","TEU","GroupBeneficialOwner","GroupBeneficialOwnerCountryOfControl","GroupBeneficialOwnerCountryofDomicile","Operator","OperatorCountryOfControl","OperatorCountryofDomicileName","RegisteredOwner","RegisteredOwnerCountryOfControl","RegisteredOwnerCountryofDomicile","ShipManager","ShipManagerCompanyCode","ShipManagerCountryOfControl","ShipManagerCountryofDomicileName","ShipManagerCountryOfRegistration","ShipManagerCoutryofDomicileCode","TechnicalManager","TechnicalManagerCode","TechnicalManagerCountryOfControl","TechnicalManagerCountryOfDomicile","TechnicalManagerCountryOfDomicileCode","TechnicalManagerCountryOfRegistration","DOCCompany","DOCCompanyCountryofDomicile","DOCCompanyCountryofDomicilecode","DOCCountryOfControl","DOCCountryOfRegistration","DocumentofComplianceDOCCompanyCode"
"4644799","ALTAIR","In Service/Commission","20080408","2008",15,130,"Det Norske Veritas 2008-04","Sweden","Training Ship",0,0,0,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","12V2000M90","4","Oil",0,"Sweden Govt","Sweden","Sweden","Sweden Govt","Sweden","Sweden","Sweden Govt","Sweden","Sweden","Sweden Govt","0351052","Sweden","Sweden","Sweden","SWD","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"4644804","ANTARES","In Service/Commission","20080701","2008",15,130,"Det Norske Veritas 2008-07","Sweden","Training Ship",0,0,0,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","12V2000M90","4","Oil",0,"Sweden Govt","Sweden","Sweden","Sweden Govt","Sweden","Sweden","Sweden Govt","Sweden","Sweden","Sweden Govt","0351052","Sweden","Sweden","Sweden","SWD","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"4644816","ARCTURUS","In Service/Commission","20081001","2008",15,130,"Det Norske Veritas 2008-10","Sweden","Training Ship",0,0,0,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","12V2000M90","4","Oil",0,"Sweden Govt","Sweden","Sweden","Sweden Govt","Sweden","Sweden","Sweden Govt","Sweden","Sweden","Sweden Govt","0351052","Sweden","Sweden","Sweden","SWD","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"4644828","ARGO","In Service/Commission","20090101","2009",15,130,"Det Norske Veritas 2009-01","Sweden","Training Ship",0,0,0,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","12V2000M90","4","Oil",0,"Sweden Govt","Sweden","Sweden","Sweden Govt","Sweden","Sweden","Sweden Govt","Sweden","Sweden","Sweden Govt","0351052","Sweden","Sweden","Sweden","SWD","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"4644830","ASTREA","In Service/Commission","20090501","2009",15,130,"Det Norske Veritas 2009-04","Sweden","Training Ship",0,0,0,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","12V2000M90","4","Oil",0,"Sweden Govt","Sweden","Sweden","Sweden Govt","Sweden","Sweden","Sweden Govt","Sweden","Sweden","Sweden Govt","0351052","Sweden","Sweden","Sweden","SWD","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"4907921","C-402","In Service/Commission","20130305","2013",14,135,"Lloyd's Register 2013-03-05","India","Patrol Vessel",5050,0,6866,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",4,2,2,"Caterpillar","3516C-HD-DITA","4","Oil",0,"India Govt","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","0921051","India","India","India","IND","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"4907971","C-407","In Service/Commission","20140512","2014",14,135,"Lloyd's Register 2014-05-12","India","Patrol Vessel",5440,4624,7396,6286,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",4,2,2,"M.T.U.","16V4000M90","4","Oil",0,"India Govt","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","0921051","India","India","India","IND","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"4907983","C-408","In Service/Commission","20140512","2014",14,135,"Lloyd's Register 2014-05-12","India","Patrol Vessel",5440,4624,7396,6286,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",4,2,2,"M.T.U.","16V4000M90","4","Oil",0,"India Govt","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","0921051","India","India","India","IND","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"4907995","L&T HAZIRA 35009","Launched","20140407","2015",14,135,"Lloyd's Register (Contemplated) 2016-01-01","India","Patrol Vessel",5440,4624,7396,6286,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","16V4000M90","4","Oil",0,"India Govt","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","0921051","India","India","India","IND","  Unknown","9991001","","","","","","","","","",""
"4908004","L&T HAZIRA 35010","Launched","20140407","2015",14,140,"Lloyd's Register (Contemplated) 2016-01-01","India","Patrol Vessel",5440,4624,7396,6286,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","16V4000M90","4","Oil",0,"India Govt","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","0921051","India","India","India","IND","  Unknown","9991001","","","","","","","","","",""
"4908016","C-411","Keel Laid","20130717","2016",14,140,"Lloyd's Register (Contemplated) 2016-01-01","India","Patrol Vessel",5440,4624,7396,6286,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","16V4000M90","4","Oil",0,"India Govt","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","0921051","India","India","India","IND","  Unknown","9991001","","","","","","","","","",""
"4908028","C-412","Keel Laid","20130718","2016",14,140,"Lloyd's Register (Contemplated) 2016-01-01","India","Patrol Vessel",5440,4624,7396,6286,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","16V4000M90","4","Oil",0,"India Govt","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","0921051","India","India","India","IND","  Unknown","9991001","","","","","","","","","",""
"4908030","C-413","Keel Laid","20130730","2016",14,140,"Lloyd's Register (Contemplated) 2016-01-01","India","Patrol Vessel",5440,4624,7396,6286,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","16V4000M90","4","Oil",0,"India Govt","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","0921051","India","India","India","IND","  Unknown","9991001","","","","","","","","","",""
"4908042","L&T HAZIRA 35014","Keel Laid","20130930","2016",14,140,"Lloyd's Register (Contemplated) 2016-01-01","India","Patrol Vessel",5440,4624,7396,6286,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","16V4000M90","4","Oil",0,"India Govt","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","0921051","India","India","India","IND","  Unknown","9991001","","","","","","","","","",""
"4908054","L&T HAZIRA 35015","Keel Laid","20140224","2016",14,140,"Lloyd's Register (Contemplated) 2016-01-01","India","Patrol Vessel",5440,4624,7396,6286,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","16V4000M90","4","Oil",0,"India Govt","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","0921051","India","India","India","IND","  Unknown","9991001","","","","","","","","","",""
"4908066","L&T HAZIRA 35016","Keel Laid","20140305","2016",14,140,"Lloyd's Register (Contemplated) 2016-01-01","India","Patrol Vessel",5440,4624,7396,6286,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","16V4000M90","4","Oil",0,"India Govt","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","0921051","India","India","India","IND","  Unknown","9991001","","","","","","","","","",""
"4908078","L&T HAZIRA 35017","Keel Laid","20140410","2016",14,140,"Lloyd's Register (Contemplated) 2016-01-01","India","Patrol Vessel",5440,4624,7396,6286,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","16V4000M90","4","Oil",0,"India Govt","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","0921051","India","India","India","IND","  Unknown","9991001","","","","","","","","","",""
"4908080","L&T HAZIRA 35018","Keel Laid","20140311","2016",14,140,"Lloyd's Register (Contemplated) 2016-01-01","India","Patrol Vessel",5440,4624,7396,6286,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","16V4000M90","4","Oil",0,"India Govt","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","0921051","India","India","India","IND","  Unknown","9991001","","","","","","","","","",""
"4908092","L&T HAZIRA 35019","Keel Laid","20140312","2016",14,140,"Lloyd's Register (Contemplated) 2016-01-01","India","Patrol Vessel",5440,4624,7396,6286,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","16V4000M90","4","Oil",0,"India Govt","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","0921051","India","India","India","IND","  Unknown","9991001","","","","","","","","","",""
"4908107","L&T HAZIRA 35020","Keel Laid","20140428","2016",14,140,"Lloyd's Register (Contemplated) 2016-01-01","India","Patrol Vessel",5440,4624,7396,6286,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","16V4000M90","4","Oil",0,"India Govt","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","0921051","India","India","India","IND","  Unknown","9991001","","","","","","","","","",""
"4908119","L&T HAZIRA 35021","On Order/Not Commenced","20100319","2016",14,140,"Lloyd's Register (Contemplated) 2016-01-01","India","Patrol Vessel",5440,4624,7396,6286,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","16V4000M90","4","Oil",0,"India Govt","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","0921051","India","India","India","IND","  Unknown","9991001","","","","","","","","","",""
"4908121","L&T HAZIRA 35022","On Order/Not Commenced","20100319","2016",14,140,"Lloyd's Register (Contemplated) 2016-01-01","India","Patrol Vessel",5440,4624,7396,6286,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","16V4000M90","4","Oil",0,"India Govt","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","0921051","India","India","India","IND","  Unknown","9991001","","","","","","","","","",""
"4908133","L&T HAZIRA 35023","On Order/Not Commenced","20100319","2016",14,140,"Lloyd's Register (Contemplated) 2016-01-01","India","Patrol Vessel",5440,4624,7396,6286,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","16V4000M90","4","Oil",0,"India Govt","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","0921051","India","India","India","IND","  Unknown","9991001","","","","","","","","","",""
"4908145","L&T HAZIRA 35024","On Order/Not Commenced","20100319","2016",14,140,"Lloyd's Register (Contemplated) 2016-01-01","India","Patrol Vessel",5440,4624,7396,6286,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","16V4000M90","4","Oil",0,"India Govt","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","0921051","India","India","India","IND","  Unknown","9991001","","","","","","","","","",""
"4908157","C-425","In Service/Commission","20130320","2013",14,135,"Lloyd's Register 2013-03-20","India","Patrol Vessel",5050,0,6866,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",4,2,2,"Caterpillar","3516C-HD","4","Oil",0,"India Govt","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","0921051","India","India","India","IND","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"4908183","L&T HAZIRA 35028","On Order/Not Commenced","20100319","2016",14,140,"Lloyd's Register (Contemplated) 2016-01-01","India","Patrol Vessel",5440,4624,7396,6286,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","16V4000M90","4","Oil",0,"India Govt","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","0921051","India","India","India","IND","  Unknown","9991001","","","","","","","","","",""
"4908195","L&T HAZIRA 35029","On Order/Not Commenced","20100319","2016",14,140,"Lloyd's Register (Contemplated) 2016-01-01","India","Patrol Vessel",5440,4624,7396,6286,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","16V4000M90","4","Oil",0,"India Govt","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","0921051","India","India","India","IND","  Unknown","9991001","","","","","","","","","",""
"4908200","L&T HAZIRA 35030","On Order/Not Commenced","20100319","2016",14,140,"Lloyd's Register (Contemplated) 2016-01-01","India","Patrol Vessel",5440,4624,7396,6286,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","16V4000M90","4","Oil",0,"India Govt","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","0921051","India","India","India","IND","  Unknown","9991001","","","","","","","","","",""
"4908212","L&T HAZIRA 35031","On Order/Not Commenced","20100319","2016",14,140,"Lloyd's Register (Contemplated) 2016-01-01","India","Patrol Vessel",5440,4624,7396,6286,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","16V4000M90","4","Oil",0,"India Govt","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","0921051","India","India","India","IND","  Unknown","9991001","","","","","","","","","",""
"4908224","L&T HAZIRA 35032","On Order/Not Commenced","20100319","2016",14,140,"Lloyd's Register (Contemplated) 2016-01-01","India","Patrol Vessel",5440,4624,7396,6286,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","16V4000M90","4","Oil",0,"India Govt","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","0921051","India","India","India","IND","  Unknown","9991001","","","","","","","","","",""
"4908236","L&T HAZIRA 35033","On Order/Not Commenced","20100319","2016",14,140,"Lloyd's Register (Contemplated) 2016-01-01","India","Patrol Vessel",5440,4624,7396,6286,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","16V4000M90","4","Oil",0,"India Govt","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","0921051","India","India","India","IND","  Unknown","9991001","","","","","","","","","",""
"4908248","L&T HAZIRA 35034","On Order/Not Commenced","20100319","2016",14,140,"Lloyd's Register (Contemplated) 2016-01-01","India","Patrol Vessel",5440,4624,7396,6286,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","16V4000M90","4","Oil",0,"India Govt","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","0921051","India","India","India","IND","  Unknown","9991001","","","","","","","","","",""
"4908250","L&T HAZIRA 35035","On Order/Not Commenced","20100319","2016",14,140,"Lloyd's Register (Contemplated) 2016-01-01","India","Patrol Vessel",5440,4624,7396,6286,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","16V4000M90","4","Oil",0,"India Govt","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","0921051","India","India","India","IND","  Unknown","9991001","","","","","","","","","",""
"4908262","L&T HAZIRA 35036","On Order/Not Commenced","20100319","2016",14,140,"Lloyd's Register (Contemplated) 2016-01-01","India","Patrol Vessel",5440,4624,7396,6286,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","16V4000M90","4","Oil",0,"India Govt","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","0921051","India","India","India","IND","  Unknown","9991001","","","","","","","","","",""
"4908535","STX JINHAE N1026","Launched","20140605","2014",60,250,"Lloyd's Register (Contemplated) 2014-11-30","Colombia","Patrol Vessel",1740,1479,2366,2011,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"M.T.U.","12V4000M70","4","Oil",0,"Colombia Govt","Colombia","Colombia","Colombia Govt Armada Republica","Colombia","Colombia","Colombia Govt Armada Republica","Colombia","Colombia","Colombia Govt Armada Republica","1180202","Colombia","Colombia","Colombia","COL","  Unknown","9991001","","","","","","","","","",""
"4908547","STX JINHAE N1027","Launched","20140605","2014",60,250,"Lloyd's Register (Contemplated) 2014-11-30","Colombia","Patrol Vessel",1740,1479,2366,2011,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"M.T.U.","12V4000M70","4","Oil",0,"Colombia Govt","Colombia","Colombia","Colombia Govt Armada Republica","Colombia","Colombia","Colombia Govt Armada Republica","Colombia","Colombia","Colombia Govt Armada Republica","1180202","Colombia","Colombia","Colombia","COL","  Unknown","9991001","","","","","","","","","",""
"4908585","STX JINHAE N1039","On Order/Not Commenced","20131211","2015",75,500,"Korean Register of Shipping (Contemplated) 2014-07","Peru","Patrol Vessel",0,0,0,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"","","","Oil",0,"Peru Govt","Peru","Peru","Peru Govt Navy","Peru","Peru","Peru Govt Navy","Peru","Peru","Peru Govt Navy","1919790","Peru","Peru","Peru","PER","  Unknown","9991001","","","","","","","","","",""
"4908597","STX JINHAE N1029","On Order/Not Commenced","20131211","2015",75,500,"Korean Register of Shipping (Contemplated) 2014-07","Peru","Patrol Vessel",0,0,0,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"","","","Oil",0,"Peru Govt","Peru","Peru","Peru Govt Navy","Peru","Peru","Peru Govt Navy","Peru","Peru","Peru Govt Navy","1919790","Peru","Peru","Peru","PER","  Unknown","9991001","","","","","","","","","",""
"4908602","LUNG TEH NB465","Keel Laid","20140616","2015",4,30,"Lloyd's Register (Contemplated) 2015-04-15","Singapore","Patrol Vessel",0,0,0,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"MAN","","","Oil",0,"Singapore Govt","Singapore","Singapore","Singapore Govt Police Coast","Singapore","Singapore","Singapore Govt Police Coast","Singapore","Singapore","Singapore Govt Police Coast","4201233","Singapore","Singapore","Singapore","SNG","  Unknown","9991001","","","","","","","","","",""
"4908614","LUNG TEH NB466","Keel Laid","20140730","2015",4,30,"Lloyd's Register (Contemplated) 2015-04-15","Singapore","Patrol Vessel",0,0,0,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"MAN","","","Oil",0,"Singapore Govt","Singapore","Singapore","Singapore Govt Police Coast","Singapore","Singapore","Singapore Govt Police Coast","Singapore","Singapore","Singapore Govt Police Coast","4201233","Singapore","Singapore","Singapore","SNG","  Unknown","9991001","","","","","","","","","",""
"4908626","LUNG TEH NB467","Keel Laid","20140826","2015",4,30,"Lloyd's Register (Contemplated) 2015-04-15","Singapore","Patrol Vessel",0,0,0,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"MAN","","","Oil",0,"Singapore Govt","Singapore","Singapore","Singapore Govt Police Coast","Singapore","Singapore","Singapore Govt Police Coast","Singapore","Singapore","Singapore Govt Police Coast","4201233","Singapore","Singapore","Singapore","SNG","  Unknown","9991001","","","","","","","","","",""
"4908638","LUNG TEH NB468","Keel Laid","20140924","2015",4,30,"Lloyd's Register (Contemplated) 2015-04-15","Singapore","Patrol Vessel",0,0,0,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"MAN","","","Oil",0,"Singapore Govt","Singapore","Singapore","Singapore Govt Police Coast","Singapore","Singapore","Singapore Govt Police Coast","Singapore","Singapore","Singapore Govt Police Coast","4201233","Singapore","Singapore","Singapore","SNG","  Unknown","9991001","","","","","","","","","",""
"8204731","KIVELI","In Service/Commission","20080108","2008",38191,22115,"Bureau Veritas 2008-01","Liberia","Bulk Carrier",10625,9031,14446,12279,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Wartsila","5RT-flex58T","2","Oil",0,"Larus SA","Greece","Greece","Larus SA","Greece","Greece","Monford Management Ltd","Greece","Greece","Larus SA","1704970","Greece","Greece","Liberia","GRC","Larus SA","1704970","Greece","Greece","GRC","Liberia","Larus SA","Greece","GRC","Greece","Liberia","1704970"
"8610899","ISPOLIN","In Service/Commission","20090300","2009",3846,23066,"","Russia","Vessel (function unknown)",6398,0,8698,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"Sulzer","8ASL25D","4","Oil",0,"Rosneft JSC","Russia","Russia","Rosneft JSC","Russia","Russia","Rosneft JSC","Russia","Russia","Caspian Marine Co Ltd","4086338","","Russia","Russia","RUS","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8636740","FJORD","In Service/Commission","20080327","2001",24800,19984,"Det Norske Veritas 2001-01","Netherlands","Heavy Load Carrier, semi submersible",11520,0,15663,0,.00,.00,204.00,"DF","Distillate Fuel",3120.00,"RF","Residual Fuel",3,,3,"Wartsila","8L32","4","Oil",0,"Dockwise Shipping BV","Netherlands","Netherlands","Dockwise Shipping BV","Netherlands","Netherlands","Fairstar Fjord BV","Netherlands","Netherlands","Dockwise Shipping BV","1971157","Netherlands","Netherlands","Netherlands","NTH","Fairstar Heavy Transport NV","5169748","Netherlands","Netherlands","NTH","Netherlands","Fairstar Heavy Transport NV","Netherlands","NTH","Netherlands","Netherlands","5169748"
"8642971","THOMAS EDISON","In Service/Commission","20000300","2000",36,575,"","Uruguay","Passenger Ship",10298,0,14002,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"Solar Turbines","TAURUS 60","","Gas",0,"Balearia Eurolineas Maritimas","Spain","Spain","Los Cipreses SA","Spain","Uruguay","Los Cipreses SA","Spain","Uruguay","Los Cipreses SA","1098363","Spain","Uruguay","Uruguay","URG","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8646678","GOTHEBORG","No Longer Meets Ihsf Criteria","20050616","2005",166,788,"Det Norske Veritas 2005-06","Sweden","Passenger Ship",810,0,1102,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",4,2,2,"Volvo Penta","TAMD165A","4","Oil",0,"Svenska Ostindiska Companiet","Sweden","Sweden","SOIC Ship Management AB","Sweden","Sweden","SOIC Ship Management AB","Sweden","Sweden","SOIC Ship Management AB","5545670","Sweden","Sweden","Sweden","SWD","SOIC Ship Management AB","5545670","Sweden","Sweden","SWD","Sweden","  Unknown","","","","","9991001"
"8648274","GLORIA","In Service/Commission","20130131","2004",440,826,"Russian Maritime Register 2012-02, International Register (Contemplated) 2011-07","Russia","Fishing Vessel",1323,1124,1799,1528,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Niigata","6M31BET","4","Oil",0,"Dalrybprom JSC","Russia","Russia","Dalrybprom JSC","Russia","Russia","Dalrybprom JSC","Russia","Russia","Dalrybprom JSC","5617739","Russia","Russia","Russia","RUS","Dalrybprom JSC","5617739","Russia","Russia","RUS","Russia","  Unknown","","","","","9991001"
"8649149","PHIL MINDANAO","In Service/Commission","20101101","2010",866,411,"","Philippines","Products Tanker",442,0,600,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"Cummins","","4","Oil",0,"Reyes & Lim","Philippines","Philippines","Phil National Lines Inc","Philippines","Philippines","Phil National Lines Inc","Philippines","Philippines","Phil National Lines Inc","4181725","Philippines","Philippines","Philippines","PHI","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8649591","DARYA KANCHAN","In Service/Commission","20091112","2009",5358,6123,"Nippon Kaiji Kyokai 2011-11","Belize","Trailing Suction Hopper Dredger",5000,0,6798,0,.00,.00,1250.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"Daihatsu","8DKM-28","4","Oil",0,"Chellaram Shipping Hong Kong","Hong Kong, China","Hong Kong, China","Chellaram Shipping Hong Kong","Hong Kong, China","Hong Kong, China","Kanchan Dredging Ltd","Hong Kong, China","Hong Kong, China","Chellaram Shipping Hong Kong","0783189","Hong Kong, China","Hong Kong, China","Hong Kong, China","HKG","Chellaram Shipping Hong Kong","0783189","Hong Kong, China","Hong Kong, China","HKG","Hong Kong, China","Chellaram Shipping Hong Kong","Hong Kong, China","HKG","Hong Kong, China","Hong Kong, China","0783189"
"8649761","THANH HAI 58","In Service/Commission","20081006","2008",3200,1598,"Vietnam Register 2008-10","Vietnam","General Cargo Ship",720,0,979,0,.00,.00,53.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Chinese Std. Type","CW8200ZC","4","Oil",0,"Vietnam Govt","Vietnam","Vietnam","Thanh Hai Transportation Sea","","Vietnam","Agribank Leasing Co II","Vietnam","Vietnam","Thanh Hai Transportation Sea","5380349","","Vietnam","Vietnam","VNM","Thanh Hai Transportation Sea","5380349","","Vietnam","VNM","Vietnam","  Unknown","","","","","9991001"
"8649864","HOANG PHONG 09-ALCI","In Service/Commission","20091106","2009",3185,1599,"Vietnam Register 2009-11","Vietnam","General Cargo Ship",1100,935,1496,1271,.00,.00,110.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Chinese Std. Type","8300ZLC","4","Oil",0,"Vietnam Govt","Vietnam","Vietnam","Trung Duc Commercial Service","","Vietnam","Agriculture Leasing Co I","Vietnam","Vietnam","Trung Duc Commercial Service","4153719","","Vietnam","Vietnam","VNM","Trung Duc Commercial Service","4153719","","Vietnam","VNM","Vietnam","  Unknown","","","","","9991001"
