"LRIMOShipNo","ShipName","ShipStatus","ShipStatusEffectiveDate","YearOfBuild","Deadweight","GrossTonnage","ClassificationSociety","FlagName","ShiptypeLevel5","Powerkwmax","Powerkwservice","Powerbhpihpshpmax","Powerbhpihpshpservice","FuelConsumptionMainEnginesonly","FuelConsumptionTotal","FuelType1Capacity","FuelType1Code","FuelType1First","FuelType2Capacity","FuelType2Code","FuelType2Second","NumberOfAllEngines","NumberOfAuxiliaryEngines","NumberofMainEngines","MainEngineDesigner","MainEngineModel","MainEngineStrokeType","MainEngineType","TEU","GroupBeneficialOwner","GroupBeneficialOwnerCountryOfControl","GroupBeneficialOwnerCountryofDomicile","Operator","OperatorCountryOfControl","OperatorCountryofDomicileName","RegisteredOwner","RegisteredOwnerCountryOfControl","RegisteredOwnerCountryofDomicile","ShipManager","ShipManagerCompanyCode","ShipManagerCountryOfControl","ShipManagerCountryofDomicileName","ShipManagerCountryOfRegistration","ShipManagerCoutryofDomicileCode","TechnicalManager","TechnicalManagerCode","TechnicalManagerCountryOfControl","TechnicalManagerCountryOfDomicile","TechnicalManagerCountryOfDomicileCode","TechnicalManagerCountryOfRegistration","DOCCompany","DOCCompanyCountryofDomicile","DOCCompanyCountryofDomicilecode","DOCCountryOfControl","DOCCountryOfRegistration","DocumentofComplianceDOCCompanyCode"
"9175717","MARENO","In Service/Commission","20000531","2000",17500,12827,"Germanischer Lloyd 2003-00","Antigua & Barbuda","Container Ship (Fully Cellular)",13320,0,18110,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Sulzer","6RTA62U","2","Oil",1174,"Navalis Shipping GmbH & Co KG","Germany","Germany","MSC Mediterranean Shipping Co","Switzerland","Switzerland","Mareno GmbH & Co KG","Germany","Germany","Worden GmbH & Co KG","0235818","Germany","Germany","Germany","GEU","Worden GmbH & Co KG","0235818","Germany","Germany","GEU","Germany","Worden GmbH & Co KG","Germany","GEU","Germany","Germany","0235818"
"9176008","HANJIN RAS LAFFAN","In Service/Commission","20000720","2000",75079,93769,"Lloyd's Register 2000-07-20, Korean Register of Shipping 2000-00","Panama","LNG Tanker",28611,0,38900,0,.00,.00,323.00,"DF","Distillate Fuel",5318.00,"RF","Residual Fuel",3,2,1,"Mitsubishi","MS40-2","","Turbine",0,"Hanjin Shipping Holdings Co","Korea, South","Korea, South","Hanjin Shipping Co Ltd","Korea, South","Korea, South","KSH International SA","Korea, South","Korea, South","Hanjin Shipping Co Ltd","0668531","Korea, South","Korea, South","Korea, South","KRS","Hanjin Ship Management Co Ltd","5266703","Korea, South","Korea, South","KRS","Korea, South","Hanjin Ship Management Co Ltd","Korea, South","KRS","Korea, South","Korea, South","5266703"
"9176010","HANJIN SUR","In Service/Commission","20000112","2000",75193,93769,"Bureau Veritas 2000-01, Korean Register of Shipping 2000-01","Panama","LNG Tanker",28613,0,38902,0,.00,.00,323.00,"DF","Distillate Fuel",5318.00,"RF","Residual Fuel",5,4,1,"Mitsubishi","MS40-2","","Turbine",0,"Hanjin Shipping Holdings Co","Korea, South","Korea, South","Hanjin Shipping Co Ltd","Korea, South","Korea, South","KSG International","Korea, South","Korea, South","Hanjin Shipping Co Ltd","0668531","Korea, South","Korea, South","Korea, South","KRS","Hanjin Ship Management Co Ltd","5266703","Korea, South","Korea, South","KRS","Korea, South","Hanjin Ship Management Co Ltd","Korea, South","KRS","Korea, South","Korea, South","5266703"
"9176369","DJANET","In Service/Commission","20140406","2000",54584,47174,"Det Norske Veritas 2000-10","Liberia","LPG Tanker",13461,0,18302,0,49.70,56.20,400.00,"DF","Distillate Fuel",2909.00,"RF","Residual Fuel",5,4,1,"B&W","5S70MC","2","Oil",0,"Sonatrach Petroleum Corp","United Kingdom","United Kingdom","Sonatrach Petroleum Corp","United Kingdom","United Kingdom","Sonatrach Petroleum Overseas","United Kingdom","United Kingdom","Norbulk Shipping UK Ltd","1038263","United Kingdom","United Kingdom","United Kingdom","GBI","Norbulk Shipping UK Ltd","1038263","United Kingdom","United Kingdom","GBI","United Kingdom","Norbulk Shipping UK Ltd","United Kingdom","GBI","United Kingdom","United Kingdom","1038263"
"9176668","RESOUNDER","In Service/Commission","20000121","2000",45724,26136,"Nippon Kaiji Kyokai 2000-02","Liberia","Bulk Carrier",7172,6098,9751,8291,.00,25.30,1567.00,"RF","Residual Fuel",.00,"NN","Not Applicable",1,,1,"B&W","6S50MC","2","Oil",0,"Sicuro SA","Greece","Greece","Sicuro SA","Greece","Greece","Northstar Shipping LLC","Greece","Greece","TST International SA","5637498","Greece","Greece","Marshall Islands","GRC","TST International SA","5637498","Greece","Greece","GRC","Marshall Islands","TST International SA","Greece","GRC","Greece","Marshall Islands","5637498"
"9176670","SEA MAPLE","In Service/Commission","20000324","2000",45710,26136,"Nippon Kaiji Kyokai 2000-04","Panama","Bulk Carrier",7172,0,9751,0,.00,.00,1610.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"B&W","6S50MC","2","Oil",0,"COSCO","China, People's Republic Of","China, People's Republic Of","COSCO QINGDAO","China, People's Republic Of","China, People's Republic Of","C&I Shipholding SA","China, People's Republic Of","Hong Kong, China","COSCO HK Shipping Co Ltd","1482851","China, People's Republic Of","Hong Kong, China","Hong Kong, China","HKG","COSCO HK Shipping Co Ltd","1482851","China, People's Republic Of","Hong Kong, China","HKG","Hong Kong, China","COSCO HK Shipping Co Ltd","Hong Kong, China","HKG","China, People's Republic Of","Hong Kong, China","1482851"
"9176694","TRANS CATALONIA","In Service/Commission","20140410","2000",19733,13005,"Det Norske Veritas 2005-00","Singapore","LPG/Chemical Tanker",9467,0,12871,0,.00,.00,174.00,"DF","Distillate Fuel",1265.00,"RF","Residual Fuel",4,3,1,"B&W","6S50MC-C","2","Oil",0,"Seatrans AS","Norway","Norway","Seatrans Chemical Tankers AS","Norway","Norway","Trans Fjord Pte Ltd","Norway","Singapore","Seatrans AS","5292435","Norway","Norway","Norway","NOR","Seatrans Ship Management AS","5718762","Norway","Norway","NOR","Norway","Seatrans Ship Management AS","Norway","NOR","Norway","Norway","5718762"
"9176773","ANGISTRI","In Service/Commission","20000125","2000",76002,39283,"Lloyd's Register 2000-01-25","Greece","Crude/Oil Products Tanker",11040,0,15010,0,49.00,52.00,180.00,"DF","Distillate Fuel",2402.00,"RF","Residual Fuel",5,4,1,"B&W","6S60MC-C","2","Oil",0,"Eletson Corp","Greece","Greece","Eletson Corp","Greece","Greece","Angistri ENE","Greece","Greece","Eletson Corp","0069081","Greece","Greece","Liberia","GRC","Eletson Corp","0069081","Greece","Greece","GRC","Liberia","Eletson Corp","Greece","GRC","Greece","Liberia","0069081"
"9176929","ANNELEEN KNUTSEN","In Service/Commission","20020830","2002",35140,24242,"Det Norske Veritas 2010-11","Norway (Nis)","Shuttle Tanker",8580,0,11665,0,.00,.00,326.00,"DF","Distillate Fuel",1514.00,"RF","Residual Fuel",5,4,1,"B&W","6S50MC","2","Oil",0,"Knutsen OAS Shipping AS","Norway","Norway","Total SA","France","France","Knutsen Shuttle Tankers 3 AS","Norway","Norway","Knutsen OAS Shipping AS","0367129","Norway","Norway","Norway","NOR","KNOT Management AS","5652631","Norway","Norway","NOR","Norway","KNOT Management AS","Norway","NOR","Norway","Norway","5652631"
"9176993","FRONT COMMODORE","In Service/Commission","20000216","2000",298620,159397,"American Bureau of Shipping 2001-00","Liberia","Crude Oil Tanker",25487,0,34652,0,90.00,93.50,429.77,"DF","Distillate Fuel",6436.32,"RF","Residual Fuel",1,,1,"B&W","7S80MC","2","Oil",0,"Dr Peters GmbH & Co KG","Germany","Germany","Frontline Ltd","Bermuda","Bermuda","Front Commodore GmbH & Co KG","Germany","Norway","Frontline Management AS","1216189","Bermuda","Norway","Norway","NOR","V Ships Germany GmbH","1973737","Monaco","Germany","GEU","Germany","V Ships Germany GmbH","Germany","GEU","Monaco","Germany","1973737"
